"countryiso3code","date","value","unit","obs_status","decimal","indicator.id","indicator.value","country.id","country.value"
"ESP","1972",8.14974586367205,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1971",4.64947364578497,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1970",4.24497076715365,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1969",8.90701555527092,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1968",6.5970201375833,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1967",4.34033841707546,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1966",7.24606030950727,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1965",6.25313489898529,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1964",5.30851024557084,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1963",9.59649887419791,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1962",9.9534381030183,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1961",11.8386741948328,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
"ESP","1960",,"","",1,"NY.GDP.MKTP.KD.ZG","GDP growth (annual %)","ES","Spain"
